,fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,month
880566,0,0.2,0.7768414022708049,-1,79,20,0.0047641009599814,-1.4002214447696584,AC,1253,4909.75298412285,2676.431151977228,4013.562404377356,1,11,CA,111,0,BE,1,1,30,0,200.0,0,INTERNET,4.916822064377243,other,1,1,6
748577,0,0.9,0.8702538083866095,-1,82,40,0.0055660082071663,-0.6943543922346931,AD,712,617.2544878516704,2705.7644296013823,4149.59296597992,10,9,CA,224,0,BC,1,1,1,1,1500.0,0,INTERNET,12.519120965969718,other,1,1,5
681328,0,0.6000000000000001,0.6584440392689638,-1,18,30,0.0078411470403897,1.6176329940893552,AA,990,5632.812788534282,3436.823406644416,4304.841392873533,6,13,CA,90,1,BC,1,1,31,0,200.0,0,INTERNET,2.759005282780324,other,1,1,5
656856,0,0.5,0.4615707830173431,10,5,30,0.0005230093286133,-0.8030602336587476,AC,1277,2732.2838886444315,2945.867425703211,5161.33443226443,1,11,CD,132,0,BC,0,1,-1,0,200.0,0,INTERNET,12.4414628184418,other,0,1,4
423667,0,0.1,0.8723071677026285,11,7,50,0.0150412374365653,-1.3293941448226212,AB,573,9621.14475802174,5820.100138682747,4705.597388538331,29,7,CA,69,0,BC,0,1,30,0,200.0,0,INTERNET,11.722187363752631,windows,0,1,3
21774,0,0.4,0.6041418813304341,-1,128,40,0.0173677901809616,-0.9550489705771076,AB,4054,7619.753258854574,5957.7066797556445,6015.769896304076,10,18,CA,205,1,BA,1,0,10,0,1500.0,0,INTERNET,0.8871295386486091,linux,1,1,0
974878,0,0.9,0.3203611393952491,-1,39,40,0.0059843058569737,17.84525489651855,AA,1109,1205.8859506918104,3781.377530510464,4380.6105121706505,2,8,CA,128,0,BC,1,1,26,1,200.0,0,INTERNET,2.660519005289637,other,0,1,7
940874,0,0.8,0.2923758719576489,37,11,20,0.0180767878789251,-0.9189896926808182,AC,246,1602.46156705862,2278.583575339585,4205.873829119887,1,8,CA,164,1,BC,0,1,-1,0,500.0,0,INTERNET,5.124036860693343,windows,1,1,7
483290,0,0.9,0.7205236483617168,31,5,20,0.018435693237029,-0.6738883227082992,AA,559,8993.878548705508,5767.070540748786,5047.208656780592,3,13,CA,72,0,BC,0,1,1,0,200.0,0,INTERNET,7.077140172307438,other,0,1,3
890766,0,0.1,0.1203870521283897,-1,34,40,0.0174543795807245,-0.7154251702750387,AB,809,2822.559680496852,5133.3137539837735,4343.3504699582845,11,8,CD,64,1,BB,1,1,15,0,500.0,0,INTERNET,2.141573115742068,linux,1,1,6
589847,0,0.2,0.3453361298774099,-1,208,10,0.0047146885909283,-1.4730252928003618,AC,1203,4148.337593262937,5931.406375174303,4795.44649746243,0,5,CA,95,0,BE,1,1,-1,0,200.0,0,INTERNET,4.7693831432446565,other,0,1,4
449152,0,0.5,0.0457842503976388,32,22,30,0.0002632817658207,27.94276148495514,AA,1746,8377.263905186623,4026.4603659536906,5007.673418727371,12,11,CA,199,1,BC,0,1,28,0,500.0,0,INTERNET,4.788505406634133,linux,1,1,3
407549,0,0.9,0.0734398750962492,65,377,50,0.0117678654394376,-1.0236437954355189,AB,530,5228.386720555629,3799.722552918889,4990.965417630808,12,5,CA,268,1,BA,0,1,5,0,1500.0,0,INTERNET,13.161238756198989,windows,1,1,3
101228,0,0.6000000000000001,0.8717072595262654,-1,232,20,0.0432290239237569,34.62466603464425,AA,1654,3841.031508619908,7100.349772974975,3127.920557206732,10,5,CA,220,1,BE,0,1,3,0,1500.0,0,INTERNET,6.514432856637198,other,1,1,0
471620,0,0.8,0.1721490724562069,-1,47,30,0.0077202061090481,28.0023825399034,AD,1432,9321.241683567836,3545.029095683849,5252.753142909583,14,12,CA,159,0,BE,0,1,20,0,1000.0,0,INTERNET,2.6735864750291727,linux,1,1,3
567243,0,0.8,0.5680397834812189,-1,90,50,0.0008513873387145,-0.4236466670216869,AB,1085,4319.580773055329,3526.587683994176,4465.643626190191,195,4,CA,109,0,BA,0,1,28,1,200.0,0,INTERNET,14.482473683180938,windows,0,1,4
192787,0,0.2,0.0958812563271947,-1,10,30,0.0224611397518512,51.46419095406928,AA,2969,11698.537795328475,6659.402421937396,5482.762124692677,12,12,CB,51,1,BC,0,1,15,0,990.0,0,INTERNET,2.3765924489815786,linux,0,1,1
573209,0,0.4,0.1814899708597846,-1,38,50,0.0250794495286576,31.09665720398184,AA,1185,7242.735460769793,5536.243255756039,5133.282051649304,30,3,CA,137,0,BC,1,1,6,1,200.0,0,INTERNET,16.650211951751757,other,0,1,4
726823,0,0.1,0.4435602499314103,-1,116,20,0.0090829144068499,-0.7983404322709347,AB,2635,8022.86486007565,4431.966716613117,4237.398721389615,9,18,CA,94,0,BB,0,1,15,0,200.0,0,INTERNET,5.198972240992378,other,1,1,5
544552,0,0.6000000000000001,0.8782986499489919,-1,57,30,0.0237987163664343,51.63832335597387,AA,1832,9142.732822196367,5761.932877805138,4954.489910174363,251,3,CA,77,0,BC,1,1,26,1,200.0,0,INTERNET,4.947704667337656,linux,1,1,3
798468,0,0.7000000000000001,0.2004363556563117,-1,132,40,0.0461835725266276,-1.0153855675939605,AB,846,1240.6924667956089,1793.8378068588486,3102.4337120361133,8,3,CA,246,1,BA,0,1,1,0,500.0,0,INTERNET,18.81027456851521,other,0,1,6
308793,0,0.3,0.3491852169675665,29,40,30,0.0231146137069821,-0.7160176192153227,AB,3025,13633.650800855788,6179.182019566363,5609.963911784626,1774,9,CA,19,1,BC,0,1,28,0,200.0,0,INTERNET,9.677605578695587,macintosh,1,1,2
232464,0,0.1,0.526380891414744,-1,201,30,27.4764307370937,27.568053799340976,AA,1669,9725.05080339686,5473.8991512923385,5360.215318421712,3,19,CE,-110,0,BC,0,1,1,0,200.0,0,INTERNET,48.25537126972562,macintosh,0,2,1
507004,0,0.6000000000000001,0.7679647005644226,-1,20,20,0.01528251947724,12.839670026146347,AA,1684,6501.8736395432825,3568.3605345947794,4866.386407742359,2,12,CA,165,1,BC,1,1,1,1,500.0,0,INTERNET,1.4539821723778037,other,1,1,3
998705,0,0.9,0.5349304539861164,26,0,20,0.0152468066245529,-1.1061158413453671,AD,1265,2863.3718168672303,4388.859830880978,5468.446711638328,41,7,CA,102,1,BC,0,1,21,0,200.0,0,INTERNET,2.5795485940380334,linux,0,1,7
865253,0,0.4,0.7229670593648492,-1,66,20,0.004741381882887,49.66724329217707,AA,2313,3999.763754800424,5454.951493457129,4333.547327937234,7,7,CE,34,1,BE,0,1,20,0,500.0,0,INTERNET,6.7921153487890376,linux,1,1,6
222932,0,0.9,0.8626415274067717,-1,84,50,0.0090839370144521,-1.1862130375016446,AB,2979,5455.4227590544815,3742.3495718171857,5666.409010096924,7,4,CA,106,0,BB,1,0,28,0,200.0,0,INTERNET,9.356905377299062,windows,1,1,1
577091,0,0.1,0.4689490225951476,-1,8,30,0.012220763391313,-1.3921456355181407,AC,3423,2896.387062589691,2333.973969969849,4417.578211572665,0,12,CA,54,1,BB,0,0,-1,0,200.0,0,INTERNET,5.879172227352684,macintosh,1,1,4
778741,0,0.7000000000000001,0.6674934310485688,27,-1,40,0.0036117230282733,-1.0161694883263666,AC,868,2398.777703722997,4905.794345572122,4310.615894941953,1,9,CA,96,0,BD,1,1,-1,1,200.0,0,INTERNET,1.8890007754309368,linux,0,1,5
205268,0,0.4,0.4978459991769928,-1,108,50,0.0370000291917186,-1.0920498912172147,AB,1118,5228.810330071889,4842.825548728551,5351.862724135434,14,3,CF,110,1,BB,1,0,28,0,200.0,0,INTERNET,11.077010072863484,windows,1,1,1
205270,0,0.9,0.7386553468076853,185,10,30,0.0081058666005981,-1.1809334756345982,AB,1951,4258.539257024351,3831.956161760949,5308.809628208267,10,8,CA,240,0,BA,0,1,31,0,1000.0,0,INTERNET,1.7007836409374482,windows,1,1,1
668035,0,0.9,0.8492402922794905,30,7,30,0.002884426929353,-0.8183639020518219,AD,1995,4563.170934254699,3068.965820770574,4970.569778161669,4,11,CA,121,1,BC,0,1,1,0,200.0,0,INTERNET,1.5646904600391864,linux,1,1,4
505383,0,0.8,0.856622336558174,-1,22,60,0.0330816781782972,28.142617711900566,AA,715,7761.218163302415,4211.720584281247,5058.140581377217,6,1,CA,173,0,BC,0,1,26,0,500.0,0,INTERNET,23.897815444894423,windows,0,1,3
968854,0,0.9,0.106344118310255,-1,26,20,0.0127700170598798,-1.1803035868080034,AB,2552,1019.5358287359106,3156.012903771132,3088.0777896524573,721,6,CA,128,0,BB,0,1,10,0,500.0,0,INTERNET,20.25659341932767,other,1,1,7
919273,0,0.3,0.6902374049143641,-1,167,40,0.0146343058985044,-1.0292844516146356,AB,1018,1028.0327921416078,6104.160370223232,4169.4017395599685,686,9,CA,161,0,BB,1,1,10,1,500.0,0,INTERNET,1.662555861131826,linux,1,1,7
431006,0,0.9,0.6095649877736802,-1,54,30,0.0079297800385861,31.347585685058213,AA,1303,2354.348663662716,8770.878411749509,4635.297115948427,3,13,CA,165,1,BA,0,1,2,0,500.0,0,INTERNET,8.878726690575542,other,0,1,3
356116,0,0.6000000000000001,0.2391676417058681,-1,33,30,0.0036501425676994,-1.5722505616121092,AC,1504,4358.131093533707,4757.540366120807,5167.618592241032,0,15,CA,191,1,BA,0,1,-1,0,1500.0,0,INTERNET,2.623182917051651,windows,1,1,2
669530,0,0.6000000000000001,0.5946599794479779,-1,306,40,0.0057806850698971,-0.7675734969032714,AC,3564,3619.173226956315,4791.064094034188,4911.668759042149,0,8,CA,137,0,BA,1,1,-1,0,500.0,1,INTERNET,8.62825418692983,other,1,1,4
907691,0,0.2,0.2387347064489557,-1,51,40,0.0077946252657669,-1.3135844720516705,AC,185,5883.708315517396,2642.03479934836,2981.713507377266,0,7,CA,36,1,BB,1,1,-1,0,200.0,0,INTERNET,19.37523838107428,linux,1,1,7
413716,0,0.7000000000000001,0.7851589905313081,-1,285,40,0.018832529657512,-0.7951886684562883,AC,780,10580.520328489709,6935.4396808126485,5122.312404908636,0,10,CA,141,1,BC,0,1,-1,0,200.0,0,INTERNET,4.184574001883978,windows,0,1,3
374370,0,0.9,0.1316967330113719,-1,345,20,8.110105897500121,31.53107549939629,AA,1105,8313.789928657914,6994.8801763455285,5649.664080166039,3,12,CA,197,1,BE,0,0,25,0,1500.0,0,INTERNET,4.979902790392832,other,0,1,2
317458,0,0.9,0.0076335200099639,-1,359,30,0.0042793451334286,-0.4773361587755034,AB,1359,4922.446343570983,5567.67923074125,5651.816644449576,16,20,CB,48,1,BA,1,0,31,0,200.0,0,INTERNET,4.362871238256648,linux,0,1,2
33212,0,0.2,0.8284169901425485,-1,43,20,0.0030288684241589,25.85220179876864,AA,1179,8258.259654534359,5973.437580391959,6677.1786275261,14,12,CA,119,0,BE,1,1,25,1,1500.0,0,INTERNET,3.257960506272589,windows,1,1,0
910588,0,0.6000000000000001,0.4317729888447417,-1,170,20,0.0166160773954888,-1.1837578841786922,AB,1323,3674.020706223089,3289.338787172093,3168.4472261567,4,7,CA,104,1,BE,0,1,10,0,200.0,0,INTERNET,10.687622484359537,linux,1,1,7
623728,0,0.9,0.0724170343371576,-1,53,30,0.0195693050965239,-0.4888927008038178,AB,990,150.33324614574414,4538.681421574695,4326.42499911851,19,11,CA,171,0,BA,0,1,30,0,200.0,0,INTERNET,0.9379252531175214,other,1,1,4
780631,0,0.7000000000000001,0.2781465342168225,-1,92,50,0.0314255421275785,106.9593192825914,AA,1414,5168.715121976564,7895.149209309844,4496.659775814513,1213,6,CA,269,1,BA,1,1,1,0,1000.0,0,INTERNET,4.436445150950505,windows,1,1,5
491807,0,0.5,0.5028488022301034,30,9,30,0.0031644641813796,-0.7488888084267241,AB,1124,2881.981454943937,3627.250848019991,5025.206502423061,5,15,CA,185,1,BC,0,1,1,1,200.0,0,INTERNET,4.417996354426483,linux,0,1,3
607849,0,0.7000000000000001,0.2535683303959145,-1,15,20,0.0087772062582354,-0.8959312892363578,AC,920,1607.5856257962937,3390.132936257773,4226.094479202074,1,9,CA,106,0,BC,0,1,-1,0,200.0,0,TELEAPP,3.3824210629141973,linux,0,1,4
245621,0,0.7000000000000001,0.650483517663425,-1,184,80,0.2575423499119043,-0.7587324392361886,AC,861,6272.56811896713,5219.648094016628,5522.09385961422,2,1,CC,122,1,BB,1,1,-1,0,500.0,0,INTERNET,8.05836040074289,linux,1,1,1
474255,0,0.1,0.3648833579872256,24,3,30,0.0051717042663564,-1.6657969359172735,AB,820,7765.531833573434,5701.022267982739,4626.350589001053,13,20,CA,169,1,BC,0,1,29,0,200.0,0,INTERNET,48.610032482319966,macintosh,0,1,3
194389,0,0.3,0.2180015163562984,-1,313,50,0.0351523187220312,-1.8365315135000289,AB,1566,7608.778387822625,9195.582676390102,5601.255740609828,14,1,CA,105,1,BB,1,1,30,0,200.0,0,INTERNET,16.188003956279676,windows,1,1,1
50098,0,0.1,0.916889194744618,-1,56,40,0.0273382256196293,-1.623849605550303,AB,2833,5653.796741795061,4714.310826399023,6717.108571560575,1740,5,CA,204,0,BE,0,1,24,0,1500.0,0,INTERNET,64.41949387690082,windows,0,1,0
504730,0,0.2,0.482053075903825,27,26,40,0.0171383849394103,-0.9623470897387776,AB,1906,686.1818199502233,4016.636933199232,5103.135036850393,1833,10,CF,146,1,BB,0,1,1,0,200.0,0,INTERNET,5.351203208098629,windows,1,1,3
760268,0,0.9,0.2273342351892148,-1,192,60,0.8458902615947406,-1.7968048468956823,AA,2348,8083.752068913711,4666.121816338485,4122.669627995699,2,3,CB,133,0,BB,0,1,-1,0,200.0,0,INTERNET,10.037220963046062,windows,0,1,5
55393,0,0.9,0.6565053338260707,-1,73,30,0.0159028217190957,-1.2644607413752116,AC,584,4705.843944414362,6740.369050843674,5995.149302299217,1,8,CA,95,1,BC,0,1,-1,1,1500.0,0,INTERNET,3.5537352610850075,linux,0,1,0
484810,0,0.9,0.9065109246426442,100,17,40,0.0237722401259706,-1.813589749701383,AC,1811,6005.438724046329,4796.158487696441,4741.9471679728695,0,8,CA,171,0,BA,0,0,-1,0,1500.0,0,INTERNET,6.638366453655868,linux,1,1,3
872253,0,0.9,0.3552946769964947,63,9,30,0.0289931232238291,-0.976614906802584,AA,1043,5019.340377566741,2743.316589539263,3469.170710272157,6,5,CB,109,0,BC,1,1,28,0,200.0,0,INTERNET,6.214343880391071,other,1,1,6
747619,0,0.1,0.5148214896513847,32,17,20,0.0076061041186665,-1.2591569853403874,AB,3047,3434.5040053541984,2550.176660410722,4246.615653954452,1,11,CA,101,0,BE,0,1,6,0,200.0,0,INTERNET,7.218687520984647,other,0,1,5
980357,1,0.9,0.5504322930437625,-1,11,50,2.2497575301547306,-0.946136804020894,AB,333,6073.949186239804,4026.344154475421,3099.6203645761493,1,5,CC,159,1,BC,0,1,10,0,200.0,0,INTERNET,44.358438020922,other,1,1,7
288421,0,0.1,0.7658590029263219,-1,273,50,6.036923102355963,-0.6710090934746415,AA,2799,3920.223380546955,6285.433288582702,5501.792504102254,822,5,CC,74,1,BF,1,0,-1,0,200.0,0,INTERNET,4.043504035670607,other,1,1,2
704551,0,0.9,0.214190676965156,-1,123,20,0.0108702417164958,-0.4328499088029782,AD,1306,3981.444367144461,3280.0409475321285,4301.1412036400825,2,7,CA,100,0,BE,1,0,25,0,200.0,0,INTERNET,6.852097608899803,other,1,1,5
452360,0,0.9,0.0725785397954149,-1,150,50,0.0303096652243774,-0.4040634436860596,AB,1286,5810.536305014784,3737.881171905612,4956.478172131002,32,4,CA,9,1,BB,1,1,15,0,200.0,0,INTERNET,5.008405956117665,other,1,1,3
211823,0,0.2,0.3295680348568796,-1,360,50,0.0238394137238448,-1.0123095338217274,AB,455,6214.5862940649085,3816.203414755332,5648.221504629018,11,5,CB,131,1,BB,1,0,6,0,500.0,0,INTERNET,4.1670850696732575,linux,0,1,1
194602,0,0.8,0.2347120864777594,-1,43,30,0.0362611034473931,19.980900007178093,AA,2524,1406.6526298470098,2849.681566181824,5429.661796487932,191,12,CA,84,1,BC,1,0,22,0,200.0,0,INTERNET,3.6206941879235415,linux,1,2,1
