step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
306,TRANSFER,1491471.98,C1845591469,0.0,0.0,C541412493,4527361.14,6018833.12,0
43,CASH_OUT,98444.88,C1554120670,20871.0,0.0,C1003902725,0.0,98444.88,0
255,CASH_OUT,240698.41,C161481354,15609.0,0.0,C641009714,143615.96,384314.37,0
207,CASH_OUT,334055.75,C920756909,158194.0,0.0,C735656699,604769.82,938825.57,0
41,CASH_OUT,96354.5,C1241897868,0.0,0.0,C1078609325,1514654.72,1660242.9,0
235,CASH_OUT,152611.54,C1681454079,49882.0,0.0,C1428476285,0.0,152611.54,0
619,CASH_OUT,418971.0,C1299375115,418971.0,0.0,C559632898,2234184.24,2653155.23,1
42,TRANSFER,801821.57,C1808523231,184333.08,0.0,C958180931,3580001.05,4381822.63,0
351,CASH_OUT,50470.37,C1220031746,0.0,0.0,C1850352067,215162.88,265633.25,0
354,CASH_OUT,9299230.13,C1363018209,9299230.13,0.0,C1049795740,11291600.74,20590830.88,1
185,CASH_OUT,37839.72,C1031318708,27936.0,0.0,C1389154097,7124543.6,7162383.32,0
351,CASH_OUT,110793.91,C963631753,5012.0,0.0,C1691458173,424216.47,535010.38,0
210,CASH_OUT,29582.23,C1848081872,467423.0,437840.77,C394964913,609407.61,638989.84,0
402,TRANSFER,956906.76,C1821427741,0.0,0.0,C515379450,2442782.22,3399688.98,0
380,TRANSFER,18234.96,C404105080,0.0,0.0,C242098348,2748396.63,2766631.58,0
371,CASH_OUT,197542.19,C1392503411,20957.0,0.0,C1568416712,271199.24,468741.42,0
185,CASH_OUT,175462.71,C109847604,0.0,0.0,C539430831,3161222.06,3342338.01,0
15,TRANSFER,1286308.25,C161725106,31278.0,0.0,C448221648,3020827.89,4307136.15,0
43,CASH_OUT,171989.59,C848297690,52189.0,0.0,C222195,339796.35,511785.94,0
255,CASH_OUT,75170.28,C54803499,476298.14,401127.86,C267833630,284040.66,359210.94,0
590,CASH_OUT,2117503.53,C1817837968,2117503.53,0.0,C925171074,579766.18,2697269.71,1
160,CASH_OUT,51807.69,C139578751,0.0,0.0,C1816399321,10455892.99,10507700.68,0
336,TRANSFER,1393126.65,C967997250,0.0,0.0,C664234478,4512054.63,5905181.27,0
207,CASH_OUT,165819.71,C1734723308,0.0,0.0,C743973011,190474.39,356294.1,0
143,CASH_OUT,279500.67,C1084961083,53747.65,0.0,C469059648,4655993.49,4935494.16,0
227,CASH_OUT,2218.84,C587098191,87414.0,85195.16,C590338068,191347.65,193566.49,0
356,CASH_OUT,55920.52,C528347841,21267.0,0.0,C165609887,0.0,55920.52,0
325,CASH_OUT,69826.3,C102427890,49886.0,0.0,C396255249,67350.08,137176.38,0
13,CASH_OUT,90750.91,C1512280937,0.0,0.0,C474596505,1155575.03,1446720.94,0
274,CASH_OUT,128794.16,C571646585,0.0,0.0,C357794355,199139.45,327933.61,0
139,TRANSFER,76831.15,C1482723983,248214.0,171382.85,C938736893,603643.9,680475.05,0
1,TRANSFER,235238.66,C1872047468,235238.66,0.0,C116289363,0.0,0.0,1
43,TRANSFER,362152.77,C1484448573,362152.77,0.0,C1911678087,0.0,0.0,1
18,CASH_OUT,46258.07,C153910407,17891.0,0.0,C909295153,19948507.73,20274042.55,0
482,TRANSFER,732198.35,C1898408959,732198.35,0.0,C38559733,0.0,0.0,1
164,CASH_OUT,33752.08,C761134067,0.0,0.0,C1198994959,132005.96,165758.04,0
379,CASH_OUT,25027.33,C1039153215,0.0,0.0,C538058073,6015357.54,6040384.88,0
37,CASH_OUT,303972.0,C1526982213,10213.0,0.0,C1114026852,0.0,303972.0,0
216,CASH_OUT,1697655.62,C578092794,1697655.62,0.0,C266383440,0.0,1697655.62,1
234,CASH_OUT,37917.19,C1649290611,283164.0,245246.81,C1310079672,30871.33,68788.52,0
353,CASH_OUT,398116.26,C848837237,0.0,0.0,C1958036230,2115007.94,2513124.2,0
401,TRANSFER,273102.7,C322151147,38261.0,0.0,C1469895761,0.0,273102.7,0
19,CASH_OUT,15202.24,C627012194,0.0,0.0,C680196289,25936.63,0.0,0
302,CASH_OUT,89861.59,C559617397,0.0,0.0,C1565338361,481935.86,571797.45,0
305,CASH_OUT,231534.38,C2091714257,40743.0,0.0,C1602093040,3283054.36,3514588.74,0
284,CASH_OUT,130904.07,C341076739,70730.0,0.0,C983568279,0.0,130904.07,0
303,CASH_OUT,298979.41,C783074427,100115.0,0.0,C261422031,0.0,298979.41,0
38,CASH_OUT,313462.8,C2070776660,43020.0,0.0,C942492984,739546.95,1053009.75,0
45,CASH_OUT,57516.92,C1860578205,190663.0,133146.08,C1073905576,1415254.8,1472771.72,0
206,CASH_OUT,177624.5,C384277626,31840.0,0.0,C1217507652,15614.0,193238.5,0
187,CASH_OUT,88153.02,C1039189451,0.0,0.0,C1275443367,148093.54,236246.56,0
274,CASH_OUT,156023.02,C750611872,0.0,0.0,C449633207,1813426.69,1969449.7,0
594,CASH_OUT,59368.27,C415831899,12340.0,0.0,C230227644,109159.74,168528.01,0
345,TRANSFER,72701.01,C184517732,0.0,0.0,C2092100313,308150.1,380851.11,0
14,TRANSFER,96813.49,C1264014100,0.0,0.0,C887273250,171354.1,268167.6,0
403,CASH_OUT,186016.57,C46841657,0.0,0.0,C1437612921,401010.26,587026.83,0
692,CASH_OUT,25122.79,C1313899345,100951.0,75828.21,C1030129083,0.0,25122.79,0
156,CASH_OUT,122364.85,C508158010,860.0,0.0,C1952938144,0.0,122364.85,0
328,CASH_OUT,2299330.46,C1269100700,2299330.46,0.0,C12644050,1403092.21,3736457.5,1
13,CASH_OUT,281214.05,C169550587,0.0,0.0,C1199406505,418710.51,699924.55,0
520,CASH_OUT,63705.2,C408148287,99402.0,35696.8,C106721618,1283769.74,1347474.94,0
235,CASH_OUT,299320.74,C897166226,98859.0,0.0,C1003092103,1252519.8,1551840.53,0
236,CASH_OUT,110255.85,C1400869394,54468.0,0.0,C861464896,3949062.02,4059317.87,0
132,CASH_OUT,191324.59,C250557445,0.0,0.0,C796136947,270740.03,559761.23,0
227,CASH_OUT,347444.85,C1840210054,50679.0,0.0,C1541252948,0.0,347444.85,0
332,CASH_OUT,48867.28,C125352399,0.0,0.0,C1874721642,73456.64,122323.92,0
253,CASH_OUT,168876.68,C93424166,2705.0,0.0,C974347108,4827005.57,4995882.24,0
308,TRANSFER,668358.63,C1310258933,0.0,0.0,C569050774,1418771.73,2087130.36,0
274,CASH_OUT,2805.37,C938109316,0.0,0.0,C1950771141,1158721.17,1161526.54,0
190,CASH_OUT,43125.18,C1781327143,169.0,0.0,C105764637,3883119.14,3926244.31,0
137,CASH_OUT,66728.9,C233777384,91869.0,25140.1,C800410969,2175694.07,2242422.97,0
397,TRANSFER,121000.82,C630401626,0.0,0.0,C1996299764,2993930.27,3114931.09,0
354,CASH_OUT,291859.81,C1316638457,0.0,0.0,C1575652054,5854738.84,6146598.65,0
41,CASH_OUT,375557.41,C2028452037,0.0,0.0,C75011604,1337012.94,1808510.13,0
257,CASH_OUT,293606.01,C1423982957,0.0,0.0,C1769022746,1625177.15,1918783.16,0
278,CASH_OUT,213266.11,C1494397204,0.0,0.0,C178155985,221215.4,434481.51,0
380,CASH_OUT,104770.11,C1305007723,0.0,0.0,C81714929,7328867.51,7433637.62,0
119,CASH_OUT,20478.58,C1393272674,0.0,0.0,C1802690147,642268.61,662747.19,0
230,CASH_OUT,167007.28,C1980934319,0.0,0.0,C1724617754,3494205.83,3661213.1,0
180,TRANSFER,1468395.73,C421649973,71300.0,0.0,C1380638120,633826.27,2102222.0,0
165,CASH_OUT,370492.44,C1060208566,0.0,0.0,C1544377199,944251.18,1314743.62,0
330,CASH_OUT,190452.33,C870236880,188241.0,0.0,C1693965452,0.0,190452.33,0
14,CASH_OUT,313795.54,C1301676860,0.0,0.0,C1382034610,1332682.63,2272102.7,0
397,CASH_OUT,128561.99,C508729062,52688.0,0.0,C789244922,0.0,128561.99,0
42,CASH_OUT,220956.59,C265058236,22479.0,0.0,C1086549246,34652.96,255609.55,0
284,CASH_OUT,48661.24,C1980058467,0.0,0.0,C957174833,1899820.11,1948481.35,0
327,CASH_OUT,232263.51,C2099649842,24407.0,0.0,C964044427,0.0,232263.51,0
43,CASH_OUT,6105.61,C2072076684,8097.0,1991.39,C1979536548,0.0,6105.61,0
136,CASH_OUT,96393.87,C762681547,79723.0,0.0,C2047087507,636575.23,732969.1,0
38,CASH_OUT,51894.36,C342599021,0.0,0.0,C994558024,535578.2,909710.09,0
396,CASH_OUT,173521.81,C1454385442,8607.78,0.0,C10782602,946969.3,1120491.11,0
241,CASH_OUT,76635.38,C1272168371,0.0,0.0,C287831251,16812340.55,16888975.93,0
254,CASH_OUT,67969.25,C1783807389,0.0,0.0,C548950644,241143.94,309113.18,0
350,TRANSFER,1274291.55,C1976083271,0.0,0.0,C1744713354,3178581.71,4452873.26,0
240,CASH_OUT,403718.29,C746087277,0.0,0.0,C1453372576,2725823.7,3129541.99,0
300,CASH_OUT,478165.43,C674225865,18482.0,0.0,C1388202553,615172.97,1093338.4,0
597,CASH_OUT,302124.79,C1092604961,0.0,0.0,C231021244,1178328.88,1480453.67,0
183,TRANSFER,165048.61,C2100300680,2063.0,0.0,C1425661451,291155.27,456203.89,0
301,TRANSFER,350571.01,C391303855,142959.39,0.0,C1540448538,4332511.67,4683082.67,0
304,TRANSFER,10000000.0,C1147311701,0.0,0.0,C2004149318,10000000.0,32642028.82,0
328,CASH_OUT,505546.32,C942926001,10049.0,0.0,C349681759,0.0,505546.32,0
254,CASH_OUT,211716.83,C568420438,22842.0,0.0,C486322253,156609.54,368326.37,0
161,CASH_OUT,259329.54,C1422038911,51712.0,0.0,C2096958936,123983.84,383313.38,0
307,CASH_OUT,385117.99,C269766031,0.0,0.0,C718446604,436941.15,822059.15,0
286,CASH_OUT,83982.35,C1800506714,119667.0,35684.65,C1065221004,588714.28,672696.63,0
374,CASH_OUT,146650.17,C845811353,0.0,0.0,C572813274,2037751.3,2184401.47,0
328,TRANSFER,189373.16,C2073902337,0.0,0.0,C501240775,3202740.4,3392113.57,0
184,CASH_OUT,422585.94,C1965249353,29945.0,0.0,C1954690861,59657.0,348952.98,0
564,CASH_OUT,189118.57,C303832951,23075.0,0.0,C1170104906,137278.15,326396.72,0
423,TRANSFER,3588174.94,C1861323130,3588174.94,0.0,C1184434945,0.0,0.0,1
179,CASH_OUT,9331.89,C1724186393,0.0,0.0,C715819458,10060552.04,10069883.93,0
351,CASH_OUT,56196.39,C1339066728,0.0,0.0,C1216859796,94189.94,150386.33,0
397,CASH_OUT,173251.37,C835786560,0.0,0.0,C499956433,2067238.99,2240490.37,0
403,CASH_OUT,18405.25,C2132507525,30160.0,11754.75,C143570827,42700.42,61105.67,0
13,CASH_OUT,10551.0,C28950404,0.0,0.0,C1636194813,282250.02,292801.03,0
284,CASH_OUT,22872.56,C624124798,94445.51,71572.95,C1488954004,1234096.48,1256969.04,0
281,CASH_OUT,176378.23,C80044918,410375.0,233996.77,C2078701171,147029.43,323407.66,0
159,CASH_OUT,285054.98,C1756525531,8769.0,0.0,C1037756887,500115.66,785170.64,0
139,CASH_OUT,8676.29,C1426229399,196135.17,187458.88,C2043175435,174262.77,182939.06,0
379,CASH_OUT,135956.54,C1655524365,0.0,0.0,C513911938,199474.04,335430.58,0
283,TRANSFER,570761.69,C632283368,0.0,0.0,C1534908727,7637521.42,8208283.1,0
518,CASH_OUT,246124.83,C148960336,79276.0,0.0,C849323774,3588562.58,3834687.4,0
399,CASH_OUT,83448.2,C1654502847,6141.0,0.0,C2116125436,0.0,83448.2,0
187,CASH_OUT,42529.54,C1350625712,0.0,0.0,C1395900317,1093420.98,1135950.52,0
19,CASH_OUT,8605.47,C117140821,219.0,0.0,C1012183709,57718.27,555330.19,0
354,CASH_OUT,149087.4,C1984258991,18947.0,0.0,C1097304939,0.0,149087.4,0
181,CASH_OUT,362798.74,C2122160784,261824.4,0.0,C1889607692,768991.3,1131790.04,0
9,CASH_OUT,22904.37,C1876823876,0.0,0.0,C168639687,1074118.97,1254345.28,0
500,CASH_OUT,930970.44,C1061051753,930970.44,0.0,C1461294954,0.0,930970.44,1
259,CASH_OUT,250288.84,C446102565,1089.76,0.0,C559735041,3299047.21,3549336.05,0
301,CASH_OUT,259439.79,C302324936,0.0,0.0,C203085340,341260.62,600700.41,0
34,CASH_OUT,86790.62,C714255007,10294.0,0.0,C394694061,2958692.36,3045482.97,0
160,CASH_OUT,20663.16,C2075774443,0.0,0.0,C12648896,1147828.29,1168491.45,0
11,CASH_OUT,108195.76,C612208438,0.0,0.0,C95423842,1284607.75,1392803.51,0
322,CASH_OUT,77762.92,C1612967030,21232.0,0.0,C551113560,346299.34,424062.26,0
43,CASH_OUT,232395.18,C1277788282,0.0,0.0,C383435873,528683.74,761078.92,0
375,CASH_OUT,207404.74,C547648832,19938.0,0.0,C1501680055,220692.13,428096.87,0
302,CASH_OUT,90674.82,C1066859034,102955.0,12280.18,C1727902324,300508.89,391183.71,0
207,TRANSFER,46789.49,C1347793140,126251.0,79461.51,C741643014,1374843.12,1421632.6,0
14,CASH_OUT,354712.64,C1620800261,17727.0,0.0,C1079608646,0.0,354712.64,0
379,CASH_OUT,24336.46,C769756280,15678.0,0.0,C1695470606,339676.08,131167.46,0
212,TRANSFER,488092.34,C562669377,0.0,0.0,C968631267,766514.69,1254607.04,0
379,CASH_OUT,141559.05,C862746307,6016.0,0.0,C531615506,0.0,141559.05,0
372,CASH_OUT,100427.7,C1026824285,0.0,0.0,C1130985393,255937.1,356364.8,0
139,CASH_OUT,174766.07,C389698421,33503.0,0.0,C1361757901,3284.27,178050.34,0
279,TRANSFER,10000000.0,C898870268,10536624.41,536624.41,C1236804041,0.0,0.0,1
710,CASH_OUT,119345.89,C1888988402,105817.0,0.0,C1038219790,0.0,119345.89,0
44,CASH_OUT,56399.76,C1436165400,0.0,0.0,C498202206,10875845.06,10932244.82,0
131,CASH_OUT,91046.57,C1305568026,0.0,0.0,C299049540,1139178.96,1230225.53,0
351,CASH_OUT,84785.61,C671216830,41327.0,0.0,C329426661,795154.54,879940.15,0
717,TRANSFER,116798.38,C1968923761,116798.38,0.0,C1287632280,0.0,0.0,1
164,CASH_OUT,282919.6,C59163362,0.0,0.0,C453757414,4401755.07,4684674.67,0
184,CASH_OUT,156484.45,C1146328698,282.0,0.0,C1273230228,66998.7,223483.16,0
208,CASH_OUT,79351.98,C424831331,0.0,0.0,C499920726,123135.64,202487.62,0
308,CASH_OUT,315552.95,C104825933,0.0,0.0,C147658534,1631107.01,1946659.96,0
299,TRANSFER,1407597.66,C1430660055,23910.0,0.0,C1307983841,157071.93,1564669.59,0
378,TRANSFER,252290.82,C1387075640,0.0,0.0,C1469943012,2213395.5,2465686.33,0
251,CASH_OUT,9467.79,C302394736,0.0,0.0,C602780878,143710.87,153178.66,0
8,CASH_OUT,252378.28,C1563122540,0.0,0.0,C1797686173,433614.34,1474093.6,0
161,CASH_OUT,218984.69,C145077457,42439.0,0.0,C1369016812,4363911.59,4582896.28,0
187,CASH_OUT,5758.48,C88933021,0.0,0.0,C826919091,384602.36,390360.84,0
185,CASH_OUT,64286.56,C427287727,0.0,0.0,C1520481176,103942.93,168229.49,0
14,CASH_OUT,292526.24,C796415556,52318.15,0.0,C893977385,845650.03,538764.17,0
328,CASH_OUT,274828.94,C1148135841,0.0,0.0,C1674963854,2349412.34,2624241.28,0
258,CASH_OUT,31630.77,C301471470,108642.0,77011.23,C1336226879,330293.17,361923.94,0
379,CASH_OUT,83403.46,C965684955,290.0,0.0,C2050970652,0.0,83403.46,0
231,CASH_OUT,129291.45,C1354034182,21563.0,0.0,C209846260,0.0,129291.45,0
15,CASH_OUT,427184.68,C1372076799,0.0,0.0,C892931653,6080264.34,6507449.02,0
188,CASH_OUT,122226.65,C1719328498,0.0,0.0,C1019733310,341451.84,463678.49,0
211,TRANSFER,372976.48,C1847601352,0.0,0.0,C978751061,4025026.81,4398003.3,0
14,CASH_OUT,503679.75,C292617817,31265.0,0.0,C358039298,130629.82,999357.55,0
137,CASH_OUT,29102.14,C248991259,21180.0,0.0,C216455158,385601.1,414703.25,0
356,CASH_OUT,69615.44,C199138253,1013.0,0.0,C1902810556,150177.7,219793.14,0
166,TRANSFER,298337.04,C1093357227,0.0,0.0,C1484141550,1663812.69,1962149.73,0
134,CASH_OUT,59084.31,C2076127876,0.0,0.0,C518422055,308439.4,367523.71,0
12,CASH_OUT,387359.28,C499298907,0.0,0.0,C1423956695,1207522.75,1594882.03,0
11,CASH_OUT,270686.53,C305706442,0.0,0.0,C360660321,273775.77,348720.98,0
401,CASH_OUT,161184.35,C1216314986,484914.0,323729.65,C1176754715,357810.06,518994.41,0
235,TRANSFER,485210.24,C1471258721,0.0,0.0,C402975616,622697.48,1107907.72,0
9,CASH_OUT,201557.55,C100331403,0.0,0.0,C910539221,3917603.19,4363508.95,0
131,CASH_OUT,51959.66,C357359928,0.0,0.0,C929680146,256510.11,308469.76,0
185,CASH_OUT,63332.26,C96904331,5826.0,0.0,C1400592900,0.0,63332.26,0
229,TRANSFER,1500192.82,C836566095,0.0,0.0,C1935089196,3933432.57,5433625.39,0
40,CASH_OUT,265337.27,C124708609,0.0,0.0,C225831023,2988992.41,3254329.67,0
370,CASH_OUT,467024.75,C438017258,50358.0,0.0,C2016827326,0.0,467024.75,0
142,CASH_OUT,12828.33,C2145095933,0.0,0.0,C1834263944,483417.77,496246.1,0
179,TRANSFER,125823.05,C2105162762,95.0,0.0,C378597351,1443002.92,1568825.97,0
165,CASH_OUT,186806.88,C1011518108,0.0,0.0,C1065447716,441653.93,628460.81,0
134,CASH_OUT,375631.82,C1287547173,0.0,0.0,C625934109,616231.84,991863.66,0
158,CASH_OUT,444932.07,C1969853336,0.0,0.0,C1680575434,761654.37,1206586.44,0
259,CASH_OUT,72782.82,C500674930,72782.82,0.0,C1607889620,2185531.03,2258313.86,1
287,CASH_OUT,167869.13,C620833150,842929.0,675059.87,C744660028,0.0,167869.13,0
378,CASH_OUT,192985.27,C1992334345,0.0,0.0,C1694636980,14054395.37,14247380.64,0
193,TRANSFER,660746.19,C1587691701,660746.19,0.0,C437134310,0.0,0.0,1
352,CASH_OUT,85047.16,C322885950,730.0,0.0,C641514961,1309.67,86356.83,0
187,CASH_OUT,10484.91,C1143608594,49919.0,39434.09,C709016800,0.0,10484.91,0
469,CASH_OUT,522348.85,C1782263203,108925.0,0.0,C1248065790,187195.67,709544.52,0
213,CASH_OUT,1650168.9,C1395729546,1650168.9,0.0,C246301673,3023206.41,4673375.3,1
20,TRANSFER,261974.31,C1427828595,8646.36,0.0,C894024911,1364843.66,1626817.97,0
164,CASH_OUT,26177.97,C906972940,4400.0,0.0,C40184201,97244.74,123422.7,0
183,CASH_OUT,72476.15,C2118679820,179617.1,107140.95,C1403719084,274677.98,347154.13,0
330,CASH_OUT,148976.8,C585021384,0.0,0.0,C673562496,1195086.94,1344063.74,0
349,CASH_OUT,134662.61,C1163444149,0.0,0.0,C105196533,2140708.05,2275370.66,0
11,TRANSFER,265404.21,C2048232129,0.0,0.0,C193826743,887409.49,1040650.89,0
371,CASH_OUT,662197.16,C1810174464,19980.0,0.0,C1658093144,39348.46,701545.62,0
398,TRANSFER,2545.58,C140508998,0.0,0.0,C2125430817,10312692.74,10315238.32,0
357,CASH_OUT,179864.2,C787454895,0.0,0.0,C614051428,442303.01,622167.21,0
13,TRANSFER,1432112.69,C368601813,0.0,0.0,C423583818,1624461.22,3056573.91,0
324,CASH_OUT,109538.72,C150652683,0.0,0.0,C307792320,275997.9,385536.62,0
9,CASH_OUT,246889.87,C988328766,0.0,0.0,C465499079,10142498.45,10389388.32,0
575,TRANSFER,1489916.19,C872785069,1489916.19,0.0,C2067948985,0.0,0.0,1
13,CASH_OUT,105327.01,C1550531935,0.0,0.0,C1629725523,1430551.82,1752238.75,0
11,CASH_OUT,133516.26,C390271772,224.18,0.0,C1733234480,6514191.3,6647707.56,0
239,CASH_OUT,120445.81,C949110027,705134.0,584688.19,C1636643867,7188919.42,7309365.23,0
355,CASH_OUT,4777.87,C186942049,0.0,0.0,C1480489963,260064.89,264842.75,0
132,CASH_OUT,135436.83,C324222436,0.0,0.0,C1612658411,3079150.31,3214587.14,0
213,CASH_OUT,1835523.44,C1203548846,1835523.44,0.0,C565411980,50844.44,1886367.88,1
549,TRANSFER,1571565.56,C1757307922,1571565.56,0.0,C141149199,0.0,0.0,1
179,CASH_OUT,257955.22,C1965037792,9548.0,0.0,C1179574101,4440634.78,4698590.0,0
298,CASH_OUT,70089.84,C1573932114,32250.0,0.0,C1391674010,183564.66,253654.51,0
142,CASH_OUT,73064.41,C1088641911,73064.41,0.0,C1039637819,187838.1,260902.5,1
167,CASH_OUT,34447.85,C188553117,0.0,0.0,C878854564,1002306.53,1036754.38,0
326,CASH_OUT,151977.76,C1404459072,0.0,0.0,C1119995781,1082158.67,1234136.43,0
686,CASH_OUT,133583.35,C816017175,2063.0,0.0,C1663031360,624749.71,758333.07,0
280,CASH_OUT,2402.32,C425622225,0.0,0.0,C1461876103,158220.79,160623.11,0
303,CASH_OUT,190363.73,C1264195011,0.0,0.0,C1273847411,487515.16,677878.9,0
323,CASH_OUT,7228.77,C1227167815,8992.0,1763.23,C1367955390,804379.15,811607.92,0
352,CASH_OUT,81193.58,C710103361,994.0,0.0,C1882810892,667642.43,748836.0,0
386,CASH_OUT,328167.7,C954075389,96709.98,0.0,C571875745,1456556.81,1784724.51,0
139,CASH_OUT,83797.16,C119343506,5316.0,0.0,C2000137650,201884.59,285681.75,0
132,CASH_OUT,171808.84,C898461702,9579.0,0.0,C1522235943,398285.7,570094.54,0
278,TRANSFER,1227465.63,C89365566,20261.0,0.0,C305124984,0.0,1227465.63,0
336,TRANSFER,1950022.93,C464058059,1950022.93,0.0,C539311335,0.0,0.0,1
325,CASH_OUT,267232.55,C1358475088,142845.0,0.0,C1051171288,869960.04,1137192.59,0
257,CASH_OUT,79399.12,C1299245619,21706.0,0.0,C1743969720,44736.35,124135.48,0
12,CASH_OUT,311935.01,C736632416,1088.0,0.0,C1197696414,19977.0,414024.88,0
16,CASH_OUT,602184.11,C894020768,29336.0,0.0,C184720401,166006.0,1152343.59,0
36,CASH_OUT,82022.5,C1983848769,0.0,0.0,C2099617060,4852555.47,4934577.98,0
250,TRANSFER,156289.19,C981128074,0.0,0.0,C391155132,258703.58,414992.78,0
305,TRANSFER,1734878.3,C357481840,0.0,0.0,C178441824,10119435.71,11854314.01,0
300,CASH_OUT,141602.63,C1659801276,21504.0,0.0,C1976942363,64437.71,206040.35,0
332,TRANSFER,271003.59,C2141449153,1838.0,0.0,C1907657254,2192478.76,2463482.35,0
273,CASH_OUT,246713.85,C1681546259,30961.0,0.0,C1746879040,0.0,246713.85,0
311,TRANSFER,1275236.3,C1608267319,1275236.3,0.0,C584314061,0.0,0.0,1
34,CASH_OUT,212688.47,C1848805581,1527.0,0.0,C915956335,0.0,97789.33,0
14,CASH_OUT,93079.82,C1343713508,0.0,0.0,C1221518165,950718.68,1496166.0,0
187,CASH_OUT,389563.41,C897541726,0.0,0.0,C1851365081,2003554.75,2393118.16,0
350,CASH_OUT,108567.7,C395763494,0.0,0.0,C356715394,397727.17,506294.88,0
261,TRANSFER,465403.23,C1324190267,0.0,0.0,C1266613086,1879347.44,2344750.67,0
129,CASH_OUT,153931.01,C304840727,0.0,0.0,C122034448,531695.96,685626.97,0
235,CASH_OUT,275440.41,C1363526568,313810.0,38369.59,C1930805047,0.0,275440.41,0
278,TRANSFER,77182.68,C1503280946,0.0,0.0,C2001851118,1534130.38,1611313.06,0
399,CASH_OUT,25368.55,C2111333471,0.0,0.0,C711602480,6203041.91,6228410.47,0
300,CASH_OUT,32858.22,C854493094,0.0,0.0,C972688197,178973.05,211831.27,0
400,TRANSFER,130278.99,C1190702691,130278.99,0.0,C2144739676,0.0,0.0,1
273,TRANSFER,112533.0,C1639874953,5239.0,0.0,C710417415,329402.75,441935.75,0
735,TRANSFER,417103.68,C336307904,417103.68,0.0,C1155915285,0.0,0.0,1
